0.161635,0.006939,-0.014499,-0.011057,-0.015939,-0.022818,-0.033288,-0.056773,-0.057537,-0.064997,-0.064500,-0.067784,-0.066165,-0.073021,-0.067500,-0.076127,-0.071162,-0.071398,-0.067112
0.983309,0.294299,0.294297,0.124998,0.107118,0.105046,0.081429,0.064361,0.062101,0.061545,0.056406,0.050431,0.046823,0.044327,0.037783,0.039284,0.032507,0.035604,0.036586
0.140834,0.113752,0.082780,0.077554,0.056398,0.050655,0.049644,0.048776,0.050295,0.048527,0.047248,0.042537,0.042697,0.041495,0.041056,0.038690,0.038897,0.038735,0.037128
0.159449,0.115784,0.097522,0.084788,0.080115,0.075630,0.066955,0.061402,0.059542,0.058043,0.054328,0.055915,0.053281,0.053231,0.052142,0.050254,0.047286,0.048309,0.044318
0.304046,0.295864,0.234169,0.220292,0.211234,0.157636,0.157029,0.156047,0.133206,0.128437,0.124644,0.110259,0.111052,0.101832,0.101487,0.101159,0.097767,0.091452,0.090890
0.999890,0.082416,0.070341,0.063722,0.061764,0.058602,0.056646,0.052154,0.053119,0.050802,0.048855,0.047589,0.047151,0.046772,0.043513,0.040065,0.041737,0.042495,0.039536
0.010819,0.007026,0.007526,0.006536,0.008353,0.005029,0.005850,0.006498,0.008764,0.006623,0.010000,0.006587,0.014257,0.011150,0.012827,0.010789,0.012299,0.013321,0.017011
0.241152,0.105703,0.109687,0.114749,0.117291,0.108328,0.103969,0.078283,0.075261,0.078612,0.077525,0.075046,0.076136,0.075004,0.076316,0.074532,0.075775,0.074628,0.074447
0.988377,0.491348,0.491535,0.299499,0.241621,0.230683,0.215833,0.198322,0.190543,0.174036,0.175013,0.167714,0.165748,0.167750,0.165996,0.158880,0.159245,0.151953,0.151117
0.247771,0.221524,0.182670,0.176216,0.151197,0.143293,0.135498,0.138774,0.137626,0.130676,0.129655,0.132799,0.129782,0.129276,0.129726,0.128883,0.124830,0.123906,0.121658
0.263221,0.212229,0.190005,0.171645,0.167128,0.158960,0.148884,0.140223,0.137376,0.129964,0.133619,0.135253,0.129731,0.128873,0.126512,0.124640,0.123864,0.123612,0.123403
0.395949,0.409378,0.358388,0.349310,0.339543,0.271076,0.274745,0.247967,0.246430,0.239551,0.235814,0.210169,0.206039,0.201593,0.199178,0.199483,0.193770,0.191345,0.180936
0.999901,0.107634,0.091528,0.087886,0.083474,0.078454,0.074660,0.074330,0.074041,0.069916,0.070965,0.069213,0.068186,0.066247,0.064387,0.063664,0.062820,0.063864,0.059083
0.145845,0.139485,0.134377,0.153675,0.150914,0.171743,0.190668,0.169576,0.194265,0.217972,0.205057,0.218858,0.197935,0.215621,0.212773,0.201049,0.213286,0.229210,0.211845
